job_title,employment_type,experience_level,expertise_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,year,standardized_salary
ML Engineer,Full-Time,Senior,Expert,178000,United States Dollar,United States,178000,United States,Medium,2023,-0.19079147591672124
ML Engineer,Full-Time,Senior,Expert,152000,United States Dollar,United States,152000,United States,Medium,2023,-0.21023332557558538
Data Scientist,Full-Time,Senior,Expert,233200,United States Dollar,United States,233200,United States,Medium,2023,-0.022049420070331723
NLP Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States,210000,United States,Medium,2023,-0.18506182146935513
NLP Engineer,Full-Time,Senior,Expert,160000,United States Dollar,United States,160000,United States,Medium,2023,-0.2570616921553435
Data Analyst,Full-Time,Senior,Expert,206000,United States Dollar,United States,206000,United States,Medium,2023,0.9302952324143029
Data Engineer,Full-Time,Senior,Expert,146100,United States Dollar,United Kingdom,146100,United Kingdom,Medium,2023,-0.05789122808801628
Data Engineer,Full-Time,Senior,Expert,112400,United States Dollar,United Kingdom,112400,United Kingdom,Medium,2023,-0.20750565155315198
Data Specialist,Full-Time,Mid,Intermediate,110000,United States Dollar,United States,110000,United States,Medium,2023,-0.10729373330072858
Data Specialist,Full-Time,Mid,Intermediate,70000,United States Dollar,United States,70000,United States,Medium,2023,-1.047317823978567
Data Scientist,Full-Time,Senior,Expert,150120,United States Dollar,United States,150120,United States,Medium,2023,-0.08521581095064218
Data Scientist,Full-Time,Senior,Expert,120096,United States Dollar,United States,120096,United States,Medium,2023,-0.10804329915226038
Machine Learning Engineer,Full-Time,Senior,Expert,253000,United States Dollar,United States,253000,United States,Medium,2023,0.1968437147194867
Machine Learning Engineer,Full-Time,Senior,Expert,168000,United States Dollar,United States,168000,United States,Medium,2023,-0.08443658737622457
Analytics Engineer,Full-Time,Senior,Expert,178600,United States Dollar,United States,178600,United States,Medium,2023,0.4626803881811575
Analytics Engineer,Full-Time,Senior,Expert,142880,United States Dollar,United States,142880,United States,Medium,2023,-0.1718599579734713
Data Science Manager,Full-Time,Senior,Expert,255000,United States Dollar,United States,255000,United States,Medium,2023,-0.11226945862213701
Data Science Manager,Full-Time,Senior,Expert,169000,United States Dollar,United States,169000,United States,Medium,2023,-0.1988456456115205
Data Scientist,Full-Time,Mid,Intermediate,155000,United States Dollar,United States,155000,United States,Medium,2023,-0.08150550777904955
Data Scientist,Full-Time,Mid,Intermediate,100000,United States Dollar,United States,100000,United States,Medium,2023,-0.12332244926216311
Data Engineer,Full-Time,Mid,Intermediate,151410,United States Dollar,United States,151410,United States,Medium,2023,-0.034316967298702615
Data Engineer,Full-Time,Mid,Intermediate,144200,United States Dollar,United States,144200,United States,Medium,2023,-0.06632646264539782
Data Scientist,Full-Time,Entry,Junior,151410,United States Dollar,United States,151410,United States,Medium,2023,-0.08423501359585642
Data Scientist,Full-Time,Entry,Junior,115360,United States Dollar,United States,115360,United States,Medium,2023,-0.11164411796796994
Analytics Engineer,Full-Time,Mid,Intermediate,193170,United States Dollar,United States,193170,United States,Medium,2023,0.7215060556915982
Analytics Engineer,Full-Time,Mid,Intermediate,116480,United States Dollar,United States,116480,United States,Medium,2023,-0.6408371455009685
Director of Data Science,Full-Time,Executive,Director,200000,British Pound Sterling,United Kingdom,246080,United Kingdom,Medium,2023,-0.07192214598158504
Director of Data Science,Full-Time,Executive,Director,165000,British Pound Sterling,United Kingdom,203016,United Kingdom,Medium,2023,-0.5258472425604066
Head of Data,Full-Time,Executive,Director,110000,British Pound Sterling,United Kingdom,135344,United Kingdom,Medium,2023,-0.7806699522658683
Head of Data,Full-Time,Executive,Director,90000,British Pound Sterling,United Kingdom,110736,United Kingdom,Medium,2023,-1.0142170061946283
Head of Data,Full-Time,Executive,Director,329500,United States Dollar,United States,329500,United States,Medium,2023,1.782508964602272
Head of Data,Full-Time,Executive,Director,269600,United States Dollar,United States,269600,United States,Medium,2023,1.083035538085636
Data Architect,Full-Time,Senior,Expert,250500,United States Dollar,United States,250500,United States,Medium,2023,1.3453381301299745
Data Architect,Full-Time,Senior,Expert,159500,United States Dollar,United States,159500,United States,Medium,2023,-0.06850174008545365
Data Analyst,Full-Time,Entry,Junior,115000,United States Dollar,United States,115000,United States,Medium,2023,-0.006350234462676508
Data Analyst,Full-Time,Entry,Junior,94035,United States Dollar,United States,94035,United States,Medium,2023,-0.22213894010087293
Data Analyst,Full-Time,Entry,Junior,57920,United States Dollar,United States,57920,United States,Medium,2023,-0.5938636767630939
Data Analyst,Full-Time,Senior,Expert,113600,United States Dollar,United States,113600,United States,Medium,2023,-0.020760164722322345
Data Analyst,Full-Time,Senior,Expert,60000,United States Dollar,United States,60000,United States,Medium,2023,-0.5724546375201915
Data Scientist,Full-Time,Senior,Expert,256000,United States Dollar,United States,256000,United States,Medium,2023,-0.0047143970555137355
Data Analyst,Full-Time,Senior,Expert,116000,United States Dollar,United States,116000,United States,Medium,2023,0.003942572865641946
Computer Vision Engineer,Full-Time,Senior,Expert,245000,United States Dollar,United Kingdom,245000,United Kingdom,Medium,2023,0.12094120527703683
Computer Vision Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United Kingdom,210000,United Kingdom,Medium,2023,-0.024429896913594363
Machine Learning Engineer,Full-Time,Senior,Expert,283200,United States Dollar,United States,283200,United States,Medium,2023,0.2967809514640806
Machine Learning Engineer,Full-Time,Senior,Expert,188800,United States Dollar,United States,188800,United States,Medium,2023,-0.015605642863391694
