job_title,employment_type,experience_level,expertise_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,year,standardized_salary
Data Scientist,Full-Time,Senior,Expert,50000,United States Dollar,United States,50000,United States,Medium,2022,-0.1613378506104481
Data Scientist,Full-Time,Senior,Expert,123400,United States Dollar,United States,123400,United States,Medium,2022,-0.1055312414311657
Data Scientist,Full-Time,Senior,Expert,88100,United States Dollar,United States,88100,United States,Medium,2022,-0.1323701147830549
Data Scientist,Full-Time,Senior,Expert,120000,United States Dollar,United States,120000,United States,Small,2022,-0.108116288722849
Data Scientist,Full-Time,Senior,Expert,55000,United States Dollar,United States,55000,United States,Small,2022,-0.1575363104756196
Analytics Engineer,Full-Time,Senior,Expert,150000,United States Dollar,United States,150000,United States,Medium,2022,-0.0453782316402978
Analytics Engineer,Full-Time,Senior,Expert,120000,United States Dollar,United States,120000,United States,Medium,2022,-0.5783068538306355
Data Science Consultant,Full-Time,Senior,Expert,139000,United States Dollar,United States,139000,United States,Medium,2022,0.0661011628402119
Data Analyst,Full-Time,Senior,Expert,139600,United States Dollar,United States,139600,United States,Medium,2022,0.2468528258139574
Data Analyst,Full-Time,Senior,Expert,85700,United States Dollar,United States,85700,United States,Medium,2022,-0.3079294891824072
Data Engineer,Full-Time,Senior,Expert,185000,United States Dollar,United States,185000,United States,Medium,2022,0.114809100481532
Data Engineer,Full-Time,Senior,Expert,50000,United States Dollar,United States,50000,United States,Medium,2022,-0.4845365128061036
Data Scientist,Full-Time,Senior,Expert,200000,United States Dollar,United States,200000,United States,Medium,2022,-0.047291646565593
ML Engineer,Full-Time,Mid,Intermediate,148500,United States Dollar,United States,148500,United States,Large,2022,-0.2128504976450478
ML Engineer,Full-Time,Mid,Intermediate,98200,United States Dollar,United States,98200,United States,Large,2022,-0.2504629991004658
Data Analyst,Full-Time,Senior,Expert,115000,United States Dollar,United States,115000,United States,Medium,2022,-0.0063502344626765
Data Architect,Full-Time,Senior,Expert,225000,United States Dollar,United States,225000,United States,Medium,2022,0.9491522324322446
Data Architect,Full-Time,Senior,Expert,66000,United States Dollar,United States,66000,United States,Medium,2022,-1.5211833649771298
Data Manager,Full-Time,Mid,Intermediate,134000,United States Dollar,United States,134000,United States,Medium,2022,0.5451923569274552
Data Manager,Full-Time,Mid,Intermediate,98000,United States Dollar,United States,98000,United States,Medium,2022,-0.298777622549282
Data Analyst,Full-Time,Mid,Intermediate,105000,United States Dollar,United States,105000,United States,Medium,2022,-0.109278307745861
Data Analyst,Full-Time,Mid,Intermediate,62000,United States Dollar,United States,62000,United States,Medium,2022,-0.5518690228635547
BI Data Analyst,Full-Time,Entry,Junior,57000,United States Dollar,United States,57000,United States,Large,2022,-0.2683489033264107
Big Data Engineer,Full-Time,Senior,Expert,210000,Canadian Dollar,Canada,161311,Canada,Medium,2022,-0.2658793622156149
Data Scientist,Full-Time,Mid,Intermediate,144200,United States Dollar,United States,144200,United States,Medium,2022,-0.0897168344702791
Data Scientist,Full-Time,Mid,Intermediate,115360,United States Dollar,United States,115360,United States,Medium,2022,-0.1116441179679699
Data Scientist,Full-Time,Mid,Intermediate,120000,Australian Dollar,Australia,83171,Australia,Large,2022,-0.108116288722849
Principal Data Architect,Full-Time,Senior,Expert,3000000,Indian Rupee,India,38154,India,Large,2022,
Data Engineer,Full-Time,Senior,Expert,70000,Euro,Portugal,73546,Portugal,Medium,2022,-0.3957445700968242
Data Engineer,Full-Time,Senior,Expert,40000,Euro,Portugal,42026,Portugal,Medium,2022,-0.5289324841607432
Data Architect,Full-Time,Senior,Expert,180000,United States Dollar,United States,180000,United States,Medium,2022,0.2500006482597801
Data Architect,Full-Time,Senior,Expert,160000,United States Dollar,United States,160000,United States,Medium,2022,-0.060733389150204
Data Scientist,Full-Time,Mid,Intermediate,108000,United States Dollar,United States,108000,United States,Large,2022,-0.1172399850464375
Machine Learning Manager,Full-Time,Senior,Expert,200000,United States Dollar,United States,200000,United States,Medium,2022,1.3830246586909898
Machine Learning Manager,Full-Time,Senior,Expert,150000,United States Dollar,United States,150000,United States,Medium,2022,-0.3496941619924825
Data Manager,Full-Time,Executive,Director,164000,Canadian Dollar,Canada,125976,Canada,Large,2022,1.2485006731580697
Data Engineer,Full-Time,Senior,Expert,188700,United States Dollar,United States,188700,United States,Medium,2022,0.1312356098827487
Data Engineer,Full-Time,Senior,Expert,160395,United States Dollar,United States,160395,United States,Medium,2022,0.0055728129634411
Applied Scientist,Full-Time,Senior,Expert,191475,United States Dollar,United States,191475,United States,Medium,2022,0.1657180943980855
Applied Scientist,Full-Time,Senior,Expert,141525,United States Dollar,United States,141525,United States,Medium,2022,-0.6758702694988251
Data Scientist,Full-Time,Mid,Intermediate,72000,Euro,Germany,75648,Germany,Small,2022,-0.1446110740172027
Lead Data Scientist,Full-Time,Senior,Expert,156868,United States Dollar,United States,156868,United States,Large,2022,-0.464949570218364
BI Analyst,Full-Time,Senior,Expert,200000,United States Dollar,Nigeria,200000,Nigeria,Small,2022,0.8900995817451178
Lead Machine Learning Engineer,Full-Time,Senior,Expert,66000,Euro,Portugal,69344,Portugal,Large,2022,-0.5590258500603631
Data Analyst,Contract,Senior,Expert,90000,United States Dollar,United States,90000,United States,Medium,2022,-0.2636704176706378
Research Scientist,Full-Time,Mid,Intermediate,120000,Euro,Germany,126080,Germany,Small,2022,-0.6423188310792708
Research Scientist,Full-Time,Mid,Intermediate,80000,Euro,Germany,84053,Germany,Small,2022,-1.155439517616116
Analytics Engineer,Full-Time,Mid,Intermediate,108000,United States Dollar,United States,108000,United States,Medium,2022,-0.7914783027067707
Analytics Engineer,Full-Time,Mid,Intermediate,85000,United States Dollar,United States,85000,United States,Medium,2022,-1.2000569130526964
Data Engineer,Full-Time,Senior,Expert,165000,United States Dollar,United States,165000,United States,Medium,2022,0.0260171577722527
Data Engineer,Full-Time,Senior,Expert,132000,United States Dollar,United States,132000,United States,Medium,2022,-0.1204895476980582
Analytics Engineer,Full-Time,Senior,Expert,130000,United States Dollar,United States,130000,United States,Medium,2022,-0.4006639797671896
BI Data Analyst,Full-Time,Mid,Intermediate,65000,Australian Dollar,Australia,45050,Australia,Large,2022,-0.2654153443321405
Data Analyst,Full-Time,Entry,Junior,56000,Australian Dollar,Australia,42028,Australia,Large,2021,-0.6136258668334653
Data Analytics Engineer,Full-Time,Mid,Intermediate,135000,United States Dollar,United States,135000,United States,Large,2022,1.3707140279187997
Data Engineer,Full-Time,Senior,Expert,178800,United States Dollar,United States,178800,United States,Large,2022,0.0872835982416554
Data Engineer,Full-Time,Senior,Expert,132100,United States Dollar,United States,132100,United States,Large,2022,-0.1200455879845118
Data Analyst,Full-Time,Entry,Junior,20000,United States Dollar,United States,20000,Costa Rica,Medium,2022,-0.9841669306529296
